issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"To restore your access, please contact your workspace admin or IT department. They can re-invite you to the workspace. Anthropic support cannot override admin decisions.",Account Access,replied,product_issue,"According to the Workspace Access and Permissions document, only workspace owners and admins can restore access. The document also states that if a seat was removed, it is an administrative action by the organization and access cannot be restored without admin approval."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Your message doesn't appear to be related to our support services. If you have a specific support question, please provide more details.",General Support,replied,invalid,Rule-based escalation: off_topic: no support-related keywords found
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"To resolve the issue with the wrong product and unresponsive merchant, please contact your card-issuing bank to file a dispute. Provide order details, communication records, and evidence. Visa does not directly process refunds, and we cannot ban merchants. Your bank will investigate and may issue a provisional credit.",Dispute Resolution,replied,product_issue,"According to the Visa Card Disputes and Chargebacks documentation, if a merchant sent the wrong product or is unresponsive, the cardholder should first attempt to resolve directly with the merchant, then contact their card-issuing bank to file a dispute. Additionally, it is stated that Visa does not directly process refunds and cannot ban merchants."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If your mock interviews stopped unexpectedly, please check your internet connection. Refunds are processed within 5-7 business days for technical failures. Please contact support with your session ID for refund requests.",Mock Interview Issues,replied,product_issue,"The response is based on the information provided in the 'Mock Interview Issues' section of the retrieved context, which outlines the steps to take when mock interviews stop unexpectedly and the process for requesting refunds."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,I don't have sufficient information in our support documentation to answer this accurately. Escalating to a human agent.,Billing,escalated,product_issue,"The provided context does not contain information about refund processes for specific order IDs or payment issues, thus lacking sufficient details to address the user's concern directly."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To obtain security questionnaires, you can request them through your account manager. Additionally, InfoSec documentation is available in the Enterprise portal, and you can contact enterprise@hackerrank.com for compliance forms.",enterprise features,replied,product_issue,"The ticket is related to the infosec process for a company using HackerRank for hiring. According to Document 1, security questionnaires can be requested through the account manager, and InfoSec documentation is available in the Enterprise portal."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"To resolve submission issues, try clearing your browser cache, using a different browser like Chrome or Firefox, and disabling any interfering browser extensions. Also, ensure your code has no syntax errors. For the 'Apply' tab not being visible, make sure you're logged in and meet the eligibility criteria for the job. Try refreshing the page or logging out and back in.",Technical Issues | Account Access,replied,product_issue,"The response is based on the 'Technical Issues and Troubleshooting' section of the retrieved context, specifically the 'Submission Problems' and 'Apply Tab Not Visible' subsections."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If submissions are not working, please try clearing your browser cache, using a different browser such as Chrome or Firefox, disabling browser extensions that might interfere, and checking if your code has syntax errors.",Technical Issues,replied,product_issue,"The response is based on the 'Submission Problems' section of the 'Technical Issues and Troubleshooting' article, which provides troubleshooting steps for issues with submissions."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the compatibility check issue with Zoom connectivity, ensure Zoom is installed and updated to the latest version, check firewall settings that might block Zoom, and grant camera and microphone permissions. Also, verify that your system meets the requirements: Windows 10+, macOS 10.13+, and stable internet (5 Mbps+).",Technical Issues,replied,product_issue,"The ticket mentions a compatibility check issue with Zoom connectivity. According to the retrieved context in Document 1, under 'Compatibility Check Issues', it is stated that Zoom connectivity is required for proctored tests and provides steps to troubleshoot Zoom-related issues."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your test, please contact the recruiter or company that sent you the test link, providing them with your test link and company name. HackerRank support cannot reschedule tests on behalf of companies.",Technical Issues and Troubleshooting | Test Rescheduling,replied,product_issue,"According to the 'Test Rescheduling' section in the technical issues documentation, candidates cannot reschedule tests directly and must contact the recruiter or company that sent the test link."
